1,25
2,100
3,0
4,25
5,100
6,0
7,25
8,100
9,0
10,12
11,50
12,0
13,12
14,50
15,0
16,12
17,50
18,0
19,25
20,0
21,50
22,0
23,50
24,0
25,50
26,0
27,50
28,0
29,25
30,100
31,0
32,25
33,100
34,0
35,50
36,0
37,50
38,0
39,50
40,0
41,50
42,0
43,25
44,100
45,0
46,50
47,0
48,50
49,0
50,50
51,0
52,50
53,0
54,50
55,0
56,50
57,0
58,50
59,0
60,25
61,100
62,0
63,25
64,100
65,0
66,25
67,100
68,0
69,25
70,100
71,0
72,50
73,0
74,25
75,100
76,0
77,50
78,0
79,50
80,0
81,50
82,0
83,0
84,50
85,0
86,50
87,0
88,50
89,0
90,50
91,0
92,25
93,100
94,0
95,0
96,50
97,0
98,50
9,0
100,50
101,0
102,50
103,0
104,50
105,0
106,0
107,0
108,0
109,50
110,0
111,50
112,0
113,0
114,0
115,0
116,50
117,0
118,50
119,0
120,50
121,0
122,0
123,0
124,0
125,0
126,0
127,0
128,0
129,400
130,0
131,0
132,0
133,25
134,0
135,0
136,0
137,0
138,50
139,0
140,50
141,0
142,0
143,0
144,0
145,0
146,0
147,25
148,100
149,0
150,0
151,0
